,location,total_sqft,bath,price,bhk,encoded_location
266,Haralur Road,2650.0,4.0,198.0,4,90
267,6th Phase JP Nagar,1192.0,2.0,74.0,2,6
268,Whitefield,1173.0,2.0,58.0,2,224
269,Uttarahalli,1020.0,2.0,45.0,2,216
270,Somasundara Palya,1600.0,3.0,64.0,3,202
271,others,1200.0,2.0,79.0,2,230
272,others,1230.0,2.0,48.0,2,230
273, Devarachikkanahalli,1250.0,2.0,40.0,2,0
274,Kalena Agrahara,1325.0,2.0,76.0,2,121
275,7th Phase JP Nagar,1850.0,3.0,150.0,3,7
276,Kanakpura Road,525.0,2.0,21.53,1,127
277,Basaveshwara Nagar,1200.0,2.0,65.0,2,37
278,Bommasandra,1260.0,3.0,49.36,3,49
279,Ardendale,1100.0,2.0,43.25,2,20
280,Harlur,1508.0,2.0,77.0,2,91
281,others,1592.0,3.0,75.0,3,230
282,Akshaya Nagar,1388.0,2.0,57.0,2,12
283,Electronic City Phase II,630.0,1.0,28.35,1,75
284,others,1762.0,3.0,125.0,3,230
285,others,950.0,2.0,50.0,2,230
286,Magadi Road,1116.0,2.0,50.0,2,155
287,others,1308.0,2.0,89.04,2,230
288,others,1200.0,3.0,90.0,3,230
289,Bannerghatta Road,500.0,1.0,18.5,1,35
290,Hennur,1075.0,2.0,52.0,2,95
291,Bellandur,1205.0,2.0,66.0,2,41
292,5th Phase JP Nagar,1075.0,2.0,60.0,2,5
293,KR Puram,930.0,2.0,39.0,2,115
294,Balagere,1380.0,2.0,60.0,2,26
295,Kodigehaali,1166.0,2.0,55.0,2,139
296,Bannerghatta Road,1050.0,2.0,65.0,2,35
297,Begur Road,1200.0,2.0,46.8,2,40
298,Lakshminarayana Pura,1600.0,2.0,108.0,3,153
299,Billekahalli,1935.0,3.0,110.0,3,45
300,8th Phase JP Nagar,451.0,1.0,29.9,1,8
301,Electronic City,1800.0,3.0,95.0,3,74
302,Jalahalli,1400.0,3.0,77.0,3,111
303,Hegde Nagar,1801.0,3.0,115.0,3,94
304,Mahadevpura,1451.0,2.0,90.0,2,156
305,Anekal,1200.0,1.0,36.0,2,18
306,Begur Road,1160.0,2.0,44.0,2,40
307,Kanakpura Road,950.0,2.0,40.0,2,127
308,others,1629.0,3.0,79.0,3,230
309,Vijayanagar,1826.0,3.0,121.0,3,220
310,7th Phase JP Nagar,1245.0,2.0,94.0,2,7
311,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2,184
312,Sompura,825.0,2.0,33.0,2,203
313,Yeshwanthpur,1693.0,3.0,108.0,3,229
314,Electronics City Phase 1,1113.27,2.0,53.0,2,76
315,others,1460.0,2.0,58.0,2,230
316,Doddathoguru,1050.0,2.0,32.0,2,70
317,Dodda Nekkundi,1260.0,2.0,55.0,2,67
318,Hosur Road,1656.0,2.0,120.0,2,104
319,Chandapura,1208.0,3.0,45.0,3,56
320,Whitefield,3252.0,4.0,230.0,4,224
321,Battarahalli,1200.0,2.0,65.0,2,38
322,7th Phase JP Nagar,1175.0,2.0,82.0,2,7
323,others,1185.0,2.0,38.0,2,230
324,Kengeri,750.0,2.0,38.0,2,135
325,Kanakpura Road,1550.0,3.0,64.5,3,127
326,others,1760.0,3.0,88.0,3,230
327,Billekahalli,1125.0,2.0,62.0,2,45
328,Anandapura,1000.0,2.0,55.0,2,16
329,TC Palaya,1200.0,2.0,60.0,2,207
330,Budigere,1991.0,4.0,103.0,3,53
331,Ambalipura,1105.0,2.0,75.0,2,13
332,Hoodi,985.0,2.0,67.0,2,97
333,Balagere,1590.0,3.0,79.0,3,26
334,CV Raman Nagar,1120.0,2.0,55.0,2,54
335,others,1069.0,2.0,55.0,2,230
336,Marathahalli,1933.0,3.0,140.0,3,161
337,Hosur Road,1194.0,2.0,69.0,2,104
338,Brookefield,1150.0,2.0,69.0,2,52
339,Yelenahalli,1240.0,2.0,47.12,2,228
340,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2,184
341,others,1450.0,3.0,55.0,3,230
342,others,1630.0,3.0,68.29,3,230
343,Dasanapura,708.0,1.0,40.0,2,64
344,Whitefield,11890.0,4.0,700.0,4,224
345,Bellandur,1250.0,2.0,76.0,2,41
346,7th Phase JP Nagar,1400.0,2.0,95.0,3,7
347,Sarjapur  Road,1670.0,2.0,57.0,3,194
348,Ardendale,1750.0,3.0,100.0,3,20
349,Vittasandra,1404.0,2.0,71.0,2,223
350,Hoodi,1715.0,2.0,95.0,3,97
351,Electronic City,630.0,1.0,34.65,1,74
352,Harlur,1752.12,3.0,135.0,3,91
353,Hulimavu,1650.0,3.0,78.0,3,105
354,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2,184
355,Sarjapur  Road,1346.0,2.0,74.03,2,194
356,Hormavu,1150.0,2.0,55.0,2,100
357,AECS Layout,1620.0,3.0,98.0,3,10
358,Marathahalli,950.0,2.0,46.96,2,161
359,Harlur,2450.0,3.0,120.0,3,91
360,others,850.0,2.0,30.0,2,230
361,Padmanabhanagar,1020.0,2.0,63.0,2,178
362,Chikkalasandra,1100.0,2.0,50.0,2,60
363,Hebbal,1760.0,2.0,130.0,3,92
364,Ambalipura,1800.0,3.0,110.0,3,13
365,Akshaya Nagar,1070.0,2.0,54.0,2,12
366,Vidyaranyapura,1440.0,2.0,95.0,2,219
367,Amruthahalli,900.0,2.0,40.0,2,15
368,Whitefield,1130.0,2.0,42.16,2,224
369,Kodigehalli,1270.0,2.0,98.0,2,140
370,others,1200.0,2.0,62.0,2,230
371,others,4800.0,4.0,235.0,4,230
372,others,1200.0,2.0,74.0,2,230
373,Subramanyapura,929.0,2.0,50.17,2,205
374,others,1464.0,3.0,56.0,3,230
375,others,2000.0,4.0,99.0,4,230
376,Chikkalasandra,1208.0,2.0,49.0,2,60
377,Hebbal Kempapura,1130.0,2.0,60.0,2,93
378,others,1753.0,3.0,120.0,3,230
379,Hoodi,1196.0,2.0,94.42,2,97
380,5th Phase JP Nagar,1150.0,3.0,52.5,2,5
381,Electronic City,1128.0,2.0,63.0,2,74
382,others,1000.0,2.0,53.0,2,230
383,Yelahanka,1035.0,2.0,45.0,2,226
384,Kereguddadahalli,950.0,2.0,32.0,2,137
385,Bisuvanahalli,1075.0,2.0,36.0,3,47
386,Whitefield,1040.0,2.0,48.5,2,224
387,others,720.0,2.0,45.0,2,230
388,Lingadheeranahalli,1511.0,3.0,95.0,3,154
389,others,1300.0,3.0,58.0,3,230
390,Hoodi,1545.0,3.0,68.75,3,97
391,Shampura,375.0,2.0,26.0,1,199
392,Vidyaranyapura,1062.0,2.0,38.0,2,219
393,others,1115.0,2.0,40.0,2,230
394,JP Nagar,1000.0,2.0,35.0,2,109
395,Kambipura,883.0,2.0,45.0,2,123
396,Sarjapur  Road,1195.0,2.0,70.0,2,194
397,others,700.0,1.0,41.0,1,230
398,Vittasandra,1246.0,2.0,67.0,2,223
399,others,1600.0,4.0,80.0,4,230
400,Haralur Road,2805.0,5.0,154.0,4,90
401,Begur Road,1584.0,3.0,65.0,3,40
402,Hosur Road,1175.0,2.0,48.0,3,104
403,others,1595.0,3.0,115.0,3,230
404,others,1353.0,2.0,110.0,2,230
405,Electronic City,1599.0,3.0,125.0,3,74
406,Whitefield,1150.0,2.0,70.0,2,224
407,KR Puram,1155.0,2.0,42.74,2,115
408,others,1200.0,2.0,85.0,1,230
409,Thanisandra,3000.0,4.0,120.0,4,209
410,Ramagondanahalli,1251.0,2.0,47.0,2,187
411,others,1028.0,2.0,45.5,2,230
412,Arekere,1222.0,2.0,45.0,2,21
413,Bannerghatta Road,1170.0,2.0,66.0,3,35
414,others,1385.0,2.0,48.48,3,230
415,HSR Layout,1372.0,2.0,68.0,2,89
416,Magadi Road,1282.0,2.0,49.0,3,155
417,Kanakpura Road,1135.0,2.0,39.73,2,127
418,Whitefield,1768.0,3.0,101.0,3,224
419,others,1325.0,2.0,90.0,3,230
420,Electronic City,1599.0,3.0,99.0,3,74
421,Whitefield,1500.0,3.0,61.95,3,224
422,Uttarahalli,1286.0,2.0,63.0,2,216
423,Kammanahalli,2845.0,5.0,140.0,5,124
424,others,1600.0,2.0,50.0,3,230
425,Hennur Road,1317.5,2.0,63.77,2,96
426,Munnekollal,1102.0,2.0,53.67,2,164
427,Yelahanka,1350.0,2.0,54.0,2,226
428,Banashankari,1200.0,2.0,42.0,3,27
429,others,1800.0,1.0,80.0,2,230
430,Chikkabanavar,950.0,2.0,40.0,2,59
431,Kanakpura Road,525.0,1.0,27.25,1,127
432,Attibele,656.0,2.0,25.0,2,22
433,others,1056.0,2.0,80.0,2,230
434,Bannerghatta Road,595.0,1.0,33.32,1,35
435,others,1080.0,2.0,50.0,2,230
436,7th Phase JP Nagar,2225.0,3.0,160.0,3,7
437,Electronics City Phase 1,1490.0,3.0,84.0,3,76
438,Sarjapur  Road,1550.0,3.0,100.0,3,194
439,others,1600.0,3.0,86.0,3,230
440,others,1160.0,2.0,55.0,2,230
441,Whitefield,4144.0,4.0,315.0,4,224
442,Sarjapur  Road,2100.0,3.0,125.0,3,194
443,Vittasandra,1404.0,2.0,69.3,2,223
444,others,1544.0,3.0,120.0,3,230
445,Banashankari Stage III,1305.0,2.0,58.7,3,29
446,Marathahalli,1230.0,2.0,80.0,2,161
447,others,1200.0,2.0,65.0,2,230
448,Harlur,1460.0,3.0,73.0,3,91
449,Gottigere,967.0,2.0,45.0,2,82
450,others,540.0,1.0,36.0,1,230
451,Hormavu,715.0,1.0,46.0,1,100
452,Mysore Road,1020.0,2.0,48.95,2,166
453,Jigani,1020.0,2.0,40.0,2,113
454,Koramangala,1253.0,2.0,102.0,2,144
455,others,1180.0,2.0,42.0,2,230
456,Nehru Nagar,961.0,2.0,38.0,2,174
457,Kanakapura,1419.0,3.0,75.0,3,126
458,others,1600.0,2.0,115.0,2,230
459,others,416.0,1.0,18.5,1,230
460,HSR Layout,1430.0,2.0,65.0,3,89
461,others,1260.0,2.0,45.0,2,230
462,others,1630.0,3.0,85.0,3,230
463,Sarjapur  Road,1249.0,3.0,44.71,3,194
464,Kalena Agrahara,1450.0,2.0,85.0,3,121
465,Konanakunte,2791.0,3.0,223.0,3,143
466,others,834.0,1.0,60.0,1,230
467,others,1125.0,4.0,70.0,3,230
468,Arekere,2060.0,3.0,140.0,3,21
469,Raja Rajeshwari Nagar,1133.0,2.0,49.07,2,184
470,Bisuvanahalli,1075.0,2.0,37.0,3,47
471,Vidyaranyapura,1200.0,2.0,55.0,2,219
472,Thanisandra,1075.0,2.0,45.8,2,209
473,Kaggadasapura,1140.0,2.0,40.0,2,118
474,Raja Rajeshwari Nagar,1090.0,2.0,42.0,2,184
475,R.T. Nagar,1500.0,4.0,70.0,4,182
476,Whitefield,1790.0,3.0,100.0,3,224
477,Hebbal,1920.0,3.0,134.0,3,92
478,HRBR Layout,1374.0,2.0,95.0,2,88
479,Bannerghatta Road,1445.0,3.0,95.0,3,35
480,Kanakapura,711.0,1.0,36.0,1,126
481,Tumkur Road,1500.0,3.0,95.0,3,214
482,Whitefield,1720.0,3.0,100.0,3,224
483,others,1400.0,3.0,60.0,3,230
484,Kundalahalli,1030.0,2.0,49.0,2,150
485,Mysore Road,1200.0,2.0,85.0,2,166
486,others,1375.0,3.0,70.0,3,230
487,Hegde Nagar,1050.0,1.0,56.0,2,94
488,Jalahalli,2250.0,3.0,160.0,3,111
489,Bellandur,1000.0,2.0,50.0,2,41
490,others,469.0,1.0,25.0,1,230
491,Marathahalli,3800.0,4.0,250.0,4,161
492,Kambipura,883.0,2.0,29.0,2,123
493,GM Palaya,1820.0,2.0,86.0,3,78
494,Singasandra,1440.0,2.0,65.0,3,201
495,others,3600.0,4.0,160.0,6,230
496,Mahadevpura,1225.0,2.0,48.0,2,156
497,Chikkalasandra,875.0,2.0,52.8,2,60
498,Jalahalli East,750.0,1.0,40.0,1,112
499,6th Phase JP Nagar,1180.0,2.0,80.0,2,6
500,Haralur Road,1194.0,2.0,47.0,2,90
501,Hennur Road,1500.0,2.0,62.0,3,96
502,others,1160.0,2.0,52.2,2,230
503,Sarjapur,1128.0,2.0,60.0,2,193
504,Sarjapur  Road,1210.0,2.0,58.0,2,194
505,Kanakpura Road,1100.0,2.0,58.0,3,127
506,Bommasandra,1200.0,3.0,46.0,3,49
507,Haralur Road,3385.0,5.0,260.0,4,90
508,others,1641.0,3.0,66.0,3,230
509,Horamavu Agara,1200.0,2.0,45.0,2,98
510,Raja Rajeshwari Nagar,1260.0,2.0,67.39,2,184
511,Mahadevpura,1720.0,3.0,78.0,3,156
512,Yelahanka,1132.5,2.0,48.13,2,226
513,Yelahanka,1210.0,2.0,45.98,2,226
514,Bisuvanahalli,1075.0,2.0,45.0,3,47
515,Thanisandra,1702.0,3.0,130.0,3,209
516,Raja Rajeshwari Nagar,1141.0,2.0,38.55,2,184
517,others,2072.0,3.0,108.0,3,230
518,JP Nagar,5520.0,2.0,375.0,5,109
519,others,1200.0,2.0,70.0,3,230
520,others,1350.0,3.0,77.0,3,230
521,others,1180.0,2.0,78.34,3,230
522,Bannerghatta Road,1640.0,2.0,120.0,3,35
523,Kodichikkanahalli,1190.0,2.0,57.0,3,138
524,Marathahalli,1019.0,2.0,49.85,2,161
525,Akshaya Nagar,1250.0,3.0,40.0,3,12
526,Whitefield,1140.0,2.0,56.0,2,224
527,Lingadheeranahalli,1683.0,3.0,109.0,3,154
528,Kaggadasapura,1515.0,3.0,83.3,3,118
529,Hoodi,2118.0,4.0,111.0,4,97
530,Bannerghatta Road,1380.0,3.0,58.0,4,35
531,Varthur Road,1083.0,2.0,61.75,2,218
532,others,2300.0,3.0,120.0,3,230
533,others,1240.0,2.0,60.0,2,230
534,others,1750.0,3.0,120.0,3,230
535,others,1230.0,2.0,43.48,2,230
536,Abbigere,985.0,2.0,40.39,2,11
537,Tindlu,1500.0,2.0,87.0,3,213
538,others,950.0,2.0,44.0,2,230
539,Kothanur,1580.0,3.0,76.0,3,146
540,Hennur Road,2264.0,3.0,159.0,3,96
541,Kammasandra,810.0,2.0,24.5,2,125
542,others,1045.0,2.0,45.0,2,230
543,Hebbal,1337.0,2.0,82.0,2,92
544,Begur Road,1500.0,2.0,54.0,3,40
545,Whitefield,1640.0,4.0,91.0,3,224
546,others,1570.0,3.0,62.0,3,230
